type,name,url,title_selector,enabled,categories
tg,Latest Movies,movie,,true,"cinema"
tg,SG New Movies & Shows,SGNewMovies,,true,"cinema"
tg,Hollywood HD Movies,hollywood_hd_movies,,true,"cinema"
tg,WatchAndSee,watchandsee,,true,"cinema"
tg,Run Telegram,run_telegram,,true,"sports"
tg,Fitness Daily,fitnessdaily,,true,"sports"
tg,GETBIG.TV,GETBIGTV,,true,"sports"
tg,Basketball Deals,basketball_deals,,true,"sports"
tg,Football Updates,football_updates,,true,"sports"
tg,Marathon Training,marathon_training,,true,"sports"
tg,Meduza Live,meduzalive,,true,"politics"
tg,Nexta,nexta,,true,"politics"
tg,RIA Novosti,rian_ru,,true,"politics"
tg,InvestFuture,investfuture,,true,"economy"
tg,Financial News,finversia,,true,"economy"
tg,Bankiru,bankiru,,true,"economy"
tg,Tech Insider Russia,techinsider_ru,,true,"technologies"
tg,Funscience,Funscience,,true,"science"
tg,TED Talks,TED_Talks,,true,"science,technologies"
